y,Three_lett,Code,Four_Lette,Aerodrome_,x,lat,long_,Internatio,Aerodrome,longitude,latitude
73 31 45 E,MLE,4E,VRMM,Maldives Airports Company Ltd.,04 11 30 N,4.19167,73.52917,1.0,Velana International Airport,73.53104457979373,4.196838783073908
73 09 20 E,GAN,4E,VRMG,Addu International Airport Pvt.Ltd,00 41 36 S,-0.69333,73.15556,1.0,Gan International Airport,73.15555555555652,-0.69333333333332
73 10 06 E,HAQ,2C,VRMH,Regional Airports Company Limited,06 44 46 N,6.74611,73.16833,1.0,Hanimaadhoo International Airport,73.16833333333408,6.746111111111095
72 59 46 E,KDM,2C,VRMT,Regional Airports Company Limited,00 29 18 N,0.48833,72.99611,0.0,Kaadedhdhoo Airport,72.99611111111278,0.488333333333338
73 31 10 E,KDO,2C,VRMK,Kahdhoo Airports Company Ltd.,01 51 30 N,1.85833,73.51944,0.0,Kadhdhoo Airport,73.51944444444466,1.858333333333347
72 50 43 E,VAM,3C,VRMV,Villa Shipping and Trading Company Pvt. Ltd.,03 28 14 N,3.47056,72.84528,1.0,Villa International Airport,72.83480378295391,3.470665475729263
73 25 59 E,FVM,2C,VRMR,Regional Airports Company Limited,00 18 35 S,-0.30972,73.43306,0.0,Fuvahmulah Airport,73.43305555555587,-0.309722222222224
73 07 49 E,DRV,2C,VRMD,Island Aviation Services Ltd.,05 09 22 N,5.15611,73.13028,0.0,Dharavandhoo Airport,73.1302777777787,5.15611111111112
73 26 03 E,GKK,3C,VRMO,Pristine Islands Investment (Maldives) Pvt.Ltd,00 44 00 N,0.73333,73.43417,0.0,Koodoo Airport,73.43416666666698,0.733333333333352
73 09 11 E,TMF,2C,VRNT,Island Aviation Services Ltd.,02 12 39 N,2.21083,73.15306,0.0,Thimarafushi Airport,73.1530555555565,2.210833333333324
73 01 30 E,IFU,2C,VREI,Island Aviation Services Ltd.,05 42 30 N,5.70833,73.025,0.0,Ifuru Airport,73.02500000000134,5.708333333333323
72 53 11 E,DDD,3C,VRMU,Dhaalu Airport Holdings Pvt. Ltd,02 39 58 N,2.66611,72.88639,0.0,Dhaalu Airport,72.88638888889128,2.666111111111117
73 04 04 E,HDK,2C,VRBK,Regional Airports Company Limited,06 37 51 N,6.63083,73.06778,0.0,Kulhudhuffushi Airport,73.06777777777886,6.630833333333317
73 28 11 E,NMF,4D,VRDA,Island Aviation Services Ltd.,05 49 06 N,5.81833,73.46972,1.0,Maafaru International Airport,73.46972222222244,5.81833333333337
73 17 15 E,FND,2C,VRCF,Regional Airports Company Limited,06 09 45 N,6.1625,73.2875,0.0,Funadhoo Airport,73.28750000000048,6.1625
73 30 46 E,RUL,2C,VRQM,Regional Airports Company Limited,00 20 17 N,0.33806,73.51278,0.0,Maavarulu Airport,73.512777777778,0.338055555555552
72 53 47 E,HRF,2C,VRAH,Regional Airports Company Limited,06 58 10 N,6.96944,72.89639,0.0,Hoarafushi Airport,72.89638888889077,6.969444444444447
73 22 13 E,LMV,2C,VRGD,Island Aviation Services Ltd.,05 27 28 N,5.45778,73.37028,0.0,Madivaru Airport,73.37027777777814,5.457777777777791
73 11 50 E,FMT,2C,VRQF,Regional Airports Company Limited,00 11 33 N,0.1925,73.19723,0.0,Faresmaathoda Airport,73.19722897737252,0.19249913194207
