FCODE,atoll,islandName,capital,islandNa_1,longitude,latitude,Area_ha,category,Sector,Usage,PrimAgency
LD0004,Alifu Alifu,Maalhos,N,މާޅޮސް,"72° 43' 9.216"" E","3° 59' 11.059"" N",32.453251,Residential Island, , , 
LD0027,Alifu Alifu,Kan'dholhudhoo,N,ކަނދޮޅުދޫ,"72° 52' 54.427"" E","4° 0' 9.368"" N",2.991456,Tourism Island,Tourism,Resort,MoT
LD0099,Alifu Alifu,Vihamaafaru,N,ވިހަމާފަރު,"72° 44' 45.331"" E","4° 7' 20.007"" N",3.158646,Uninhabited Island, , ,MoFMRA
LD0109,Alifu Alifu,Maagau,N,މާގައު,"72° 57' 25.313"" E","3° 59' 21.062"" N",2.030068,Tourism Island,Tourism,Resort,MoT
LD0132,Alifu Alifu,Mathiveri,N,މަތިވެރި,"72° 44' 45.987"" E","4° 11' 31.055"" N",23.064295,Residential Island, , , 
LD0201,Alifu Alifu,Ellaidhoo,N,އެއްލައިދޫ,"72° 56' 57.047"" E","4° 0' 22.347"" N",5.747898,Tourism Island,Tourism,Resort,MoT
LD0225,Alifu Alifu,Alikoirah,N,އަލިކޮއިރަށް,"72° 52' 47.981"" E","3° 56' 36.160"" N",1.465362, , , ,MoT
LD0257,Alifu Alifu,Rasdhoo,Y,ރަސްދޫ,"72° 59' 30.053"" E","4° 15' 47.251"" N",21.825808,Residential Island, , , 
LD0287,Alifu Alifu,Feridhoo,N,ފެރިދޫ,"72° 43' 32.047"" E","4° 3' 3.836"" N",45.079816,Residential Island, , , 
LD0300,Alifu Alifu,Maayafushi,N,މާޔަފުށި,"72° 53' 15.269"" E","4° 4' 25.006"" N",3.993157,Tourism Island,Tourism,Resort,MoT
LD0343,Alifu Alifu,Gangehi,N,ގަންގެހި,"72° 45' 15.132"" E","4° 13' 11.997"" N",3.339659,Tourism Island,Tourism,Resort,MoT
LD0375,Alifu Alifu,Halaveli,N,ހަލަވެލި,"72° 55' 9.119"" E","4° 2' 18.573"" N",7.655918,Tourism Island,Tourism,Resort,MoT
LD0405,Alifu Alifu,Etheremadivaru,N,އެތެރެމަޑިވަރު,"72° 56' 15.120"" E","4° 7' 7.839"" N",2.432228,Tourism Island,Tourism,Resort,MoT
LD0411,Alifu Alifu,Velidhoo,N,ވެލިދޫ,"72° 49' 8.518"" E","4° 11' 40.645"" N",9.692194,Tourism Island,Tourism,Resort,MoT
LD0474,Alifu Alifu,Bodufolhudhoo,N,ބޮޑުފޮޅުދޫ,"72° 46' 24.490"" E","4° 11' 8.667"" N",12.492676,Residential Island, , , 
LD0501,Alifu Alifu,Thoddoo,N,ތޮއްޑޫ,"72° 57' 33.697"" E","4° 26' 13.430"" N",162.847076,Residential Island, , , 
LD0574,Alifu Alifu,Madivaru,N,މަޑިވަރު,"73° 0' 0.858"" E","4° 15' 56.089"" N",0.571713,Uninhabited Island, , ,MoECCT
LD0645,Alifu Alifu,Madivarufinolhu,N,މަޑިވަރުފިނޮޅު,"73° 0' 4.162"" E","4° 16' 10.666"" N",0.858133,Uninhabited Island, , ,MoECCT
LD0727,Alifu Alifu,Velifinolhu,N,ވެލިފިނޮޅު,"73° 0' 34.832"" E","4° 17' 36.854"" N",1.168185,Uninhabited Island, , , 
LD0760,Alifu Alifu,Madoogali,N,މަޑޫގަލި,"72° 45' 10.379"" E","4° 5' 46.094"" N",6.357331,Tourism Island,Tourism, ,MoT
LD0865,Alifu Alifu,Mushimasmigili,N,މުށިމަސްމިގިލި,"72° 54' 45.763"" E","3° 57' 32.231"" N",2.87264,Tourism Island,Tourism, ,MoT
LD0868,Alifu Alifu,Fushi,N,ފުށި,"72° 53' 0.364"" E","4° 12' 56.483"" N",0.817702,Uninhabited Island, ,Varuva,MoFMRA
