numBeds,Resort_Fax,Resort_Ema,lat,Island,Owner_Less,Management,is3,long,resortName,Phone,srl,Email,Resort_Pho,numRoom,Operator,Beds,Atoll,Fax,OBJECTID,Rooms,FCOde,State,longitude,latitude
140.0,-,info.bathala@sandies-resorts.com,4.07035,Bathalaa,"B Resorts Investment Pvt. Ltd. 
G. Neem Building, 3rd Floor
Majeedhee Magu
Male’, Republic of Maldives",-,Bathala,72.94566,Sandies Bathala,7905040,,resmg.thudufushi@diamonds-resorts.com,4002400,70.0,"Away Hotels Maldives Pvt. Ltd. 
M. Veeza 
Dhambu Goalhi 20190
Male’, Republic of Maldives",140.0,Alifu Alifu,,1,70.0,LD1080,Operating,72.94565829250186,4.070347823599987
224.0,,ellaidhoo@cinnamonhotels.com,4.00619,Ellaidhoo,"Ellaidhoo Investments Pvt Ltd
5A STO Aifaanu Building, 
Boduthakurufaanu Magu Male', Republic of Maldives",,Ellaidhoo,72.94914,Ellaidhoo Maldives By Cinnamon,"331 3738
333 2867",54,resorts@cinnamonhotels.com,666 0514,112.0,"Travel Club Pvt. Ltd. 
H. Maizaan, 2nd Floor
Sosun Magu
Male', Republic of Maldives",224.0,Alifu Alifu,332 6264,2,112.0,LD0201,Operating,72.94913537450185,4.006194811559992
162.0,6662222,reservations.wmaldives@whotels.com,4.00686,Fesdhoo,"Manta Resort Holdings I Pvt. Ltd 
H. #02-01, Millennia Tower
10 Ameer Ahmed Magu 20026
Male', Republic of Maldives","Marriott Hotels Maldives Pvt Ltd 
H. #04-01, Millennia Tower
10 Ameer Ahmed Magu 20026
Male', Republic of Maldives",Fesdhoo,72.81102,W Maldives,7931698,171,vijay.kumar@marriott.com,6662222,81.0,"Manta Resort Holdings I Pvt. Ltd 
H. #02-01, Millennia Tower
10 Ameer Ahmed Magu 20026
Male', Republic of Maldives",162.0,Alifu Alifu,,3,81.0,LD1002,Not Operating,72.81101637100289,4.006856101839973
72.0,666-0505,info@gangehi.com / info@fushifaru.com,4.22006,Gangehi,"Gangehi Invesments Pvt Ltd
H. Dhonveli Thundi, Ground Floor, 
Dhunbugas Magu, 
Male', Republic of Maldives",-,Gangehi,72.75497,Gangehi Island Resort,332 9013,67,info@gangehi.com / info@fushifaru.com,666-0505,36.0,"Noomadi Resorts Pvt. Ltd.
H. East Light, No.4/A, 4th floor, 
Ameer Ahmed Magu, 
Male', Republic of Maldives",72.0,Alifu Alifu,332 9014,4,36.0,LD0343,Operating,72.75497277630343,4.220064957139958
172.0,,resa@constancehotels.com,4.03844,Halaveli,"Eastinvest Pvt Ltd 
2nd Floor, (West Wing) #2-04, H.Aage 
Boduthakurufaanu Magu
Male', Republic of Maldives
admin@bb-mld.com","Constance Hotels International Services Pvt Ltd 
C/O Shah, Hussain & Co, 06th Floor, H. Aage 
12, Boduthakurufaanu Magu
Male', Republic of Maldives",Halaveli,72.91936,Constance Halaveli Resort,"3343613
3343614",41,officemgr@halaveli.com,666 7000,86.0,"The Waterfront Pvt Ltd .
2nd Floor, H.Thandiraiymaage
Roashanee Magu
Male', Republic of Maldives",172.0,Alifu Alifu,3343615,5,86.0,LD0375,Operating,72.91936387100205,4.038439065779997
60.0,,info@kandolhu.com,4.00256,Kan'dholhudhoo,"Kandholhudhoo Island Investment Pvt. Ltd. 
39 Orchid Magu, Male'",,Kandholhudhoo,72.88176,Kandolhu Island Maldives,"6680789 / 6680790
3323080",87,www.kandholhu.com,668 0790,30.0,"Kandholhudhoo Holdings Pvt Ltd 
39 Orchid Magu, Male'",60.0,Alifu Alifu,"6680788
3333618",6,30.0,LD0027,Operating,72.88175817440231,4.002556046419976
104.0,6660516,reservation@nikaisland.com.mv,4.18126,Kudafolhudhoo,"Nika Maldives Pvt.Ltd. 
M. West House, Chambeylee Magu
Male', Republic of Maldives
nika_htl@dhivehinet.net.mv",-,Kudafolhudhoo,72.76687,Nika Island Resort and Spa,"7771643
6660516
3314541",111,nika_htl@dhivehinet.net.mv,6660516,52.0,"Nika Maldives Pvt.Ltd. 
G. Nafaa, Raadhafathi Hingun
M. West House, Chambeylee Magu
Male', Republic of Maldives",104.0,Alifu Alifu,3325097,7,52.0,LD0893,Operating,72.76686899380331,4.181263787069966
790.0,6660556,info@kuramathi.com,4.25891,Kuramathi,"Universal Enterprises Pvt. Ltd. 
H. 39, Orchid Magu
Male', Republic of Maldives",,Kuramathi,72.981,Kuramathi Maldives,3323080,94,iyaz.waheed@universalenterprises.com,6660527,395.0,"Universal Enterprises Pvt. Ltd. 
H. 39, Orchid Magu
Male', Republic of Maldives",790.0,Alifu Alifu,3333618,8,395.0,LD1139,Operating,72.98099533000163,4.258908236789988
150.0,6660588,maayafushi@nakairesorts.com / reservations@maayafushi.com,4.07359,Maayafushi,"I.R.T.S Private Limited
M.Omadu Fanu Building, 2nd Floor
Haveeree Hingun
Male', Republic of Maldives",,Maayafushi,72.88759,Maayafushi Tourist Resort,3323214,100,manager.maleoffice@nakairesorts.com,6660588,75.0,"Maayafushi Resort Management Pvt Ltd 
M. Omadu Fanu Building, 2nd Floor 
Haveeree Hingun
Male', Republic of Maldives",150.0,Alifu Alifu,3322516,9,75.0,LD0300,Operating,72.88759058410224,4.073591322019996
182.0,666 0519,reservations@veligandu.com,4.29881,Veligan'du,"Crown Company Pvt. Ltd. 
Fasmeeru Building, 6th Floor
Boduthakurufaanu Magu
Male', Republic of Maldives",-,Veligan'du,73.01152,Veligandu Maldives Resort Island,3322432,167,info@crowncompany.com,666 0519,91.0,"Crown Company Pvt. Ltd. 
Fasmeeru Building, 6th Floor
Boduthakurufaanu Magu
Male', Republic of Maldives",182.0,Alifu Alifu,3324009,10,91.0,LD0807,Not Operating,73.01151937610148,4.298806941470017
