Name,Address,Rooms,longitude,latitude
Green Flora,Shima,17.0,73.48511491382457,4.174633664535405
Octave,"Ma. Jambuma, Kaaminee Magu",14.0,73.50761892202729,4.174696741684614
Araam View,Hulhumale' Lot. No. 10788,19.0,73.54377048190146,4.211757965837577
Vinorva,Block no: 31,29.0,73.48689805420867,4.174410611898488
White Beach Holiday,"Hulhumale Lot No. 10124, Dhiggaamagu",7.0,73.54532371281613,4.216258630724018
The Somerset Guesthouse,"M. Melaa, Keneree Magu",30.0,73.50957403995353,4.177586042593488
Summer Beach,"H. Campus Beach, Boduthakurufaanu Magu",28.0,73.5178026680263,4.174556618034883
Tourist Inn Grand,"Ma. Maaraa, Gulaabee Magu",8.0,73.50701736775974,4.173895411180053
Sala Boutique Residence,"H. Buruneege, Hithahfinivaa Magu",5.0,73.51345143369198,4.176654571347553
Star Shell,"Hulhumale', Lot no: 1106",15.0,73.54196940400648,4.207360559264158
Marble,M. Marble,30.0,73.50281536252554,4.176891828555357
Blue Sky Beach,Hulhumale' Lot no: 10996 Kaani Magu,0.0,73.54319733031843,4.209171826040953
Tour Inn,Kalmia,6.0,73.5140633350577,4.174856226929831
H78 Veli,"Hulhumale' Lot No. 11078, Kaani Magu,",22.0,73.54255911895288,4.207235189341818
Unima Grand,"H. Unima Fehi,  Roashanee Magu",39.0,73.51769697092149,4.175775009668439
Ezmeralda Maldives,"Hulhumale' Plot No. 10590, Hithigas Magu",10.0,73.54326845114417,4.220667020257025
Rivethi Beach Boutique,Hulhumale’ Lot No. 11070,15.0,73.54275265839925,4.207870120541842
The Beehive,M. Baheej Palace,33.0,73.5030106216806,4.174120297297662
Noovila Grand,"Hulhumale' Lot. No. 11038, Male', Republic of Maldives",15.0,73.54282534180741,4.208772369820837
Dhimyaath Stay,M. Dhimyaath,55.0,73.50251856275086,4.172806743043228
Tourist Inn,"Ma. Leaves, 03rd - 05th Floor,Maaveyo Goalhi",8.0,73.50728368203377,4.174125375847953
The Park House,"G. Famaas Villa, Lily Magu",20.0,73.51150385900424,4.17658255803409
Off Day Inn,"H. Hiriyaadhoo, Filigas Hingun",15.0,73.51732264243944,4.174550472163486
Champa Moon Guesthouse,G. Champa Moon,13.0,73.51161878866175,4.175961223243753
Samann Grand,"H. Minaan,  Roashanee Magu",26.0,73.51758955204212,4.175827322083245
Skai Lodge,"H. Mandhu Edhuruge, Violet Magu",13.0,73.51547384654107,4.176009479635668
Zan Lodge,"H. Kanburu Villa, Hiffaseyha Goalhi",18.0,73.51509860534472,4.177933619532734
Marukab Plaza,"1. H. Olive & 2. H. Rihi, Ameer Ahmed Magu",40.0,73.51685042732493,4.177139955194106
The Grand View,"H. Melroze, Dheyliyaa Hingun",21.0,73.51649913288635,4.174873178817777
Avoca Inn,"Avoca, Hulhumale' Lot No. 11058, Nirolhu Magu 19",25.0,73.54269155844058,4.208593245050683
Cocotier Inn,"H. Raalhu Fonu, Filigas Hingun",16.0,73.51737232489387,4.175209017567773
Umet Seaview,Loajehige,11.0,73.51695470432337,4.172606970357871
Beach Albatross,"Hulhumale', Tho Residence 10053, Dhiggaa Magu",15.0,73.54593932919668,4.21884502899768
The White Harp Inn,Hulhumale' Lot. No. 11075,15.0,73.54262876654703,4.207462382131114
Vista Beach Retreat,Hulhumale’ Lot. No 10669,12.0,73.54393344406341,4.211425032478739
Starry Beach Inn,"Hulhumale', Lot No. 10366, PointNayaa, Hirundhu Hingun",15.0,73.54477554310547,4.214217898510569
Hulhu Villa Beach,"Hulhumale', Lot No. 10092",12.0,73.54543687123497,4.218307141359444
Cinque Retreat and Spa,Hulhumale' Lot No. 10413,12.0,73.54469368698791,4.215178010210951
Ila Grand,"Hulhumale' Lot No. 11118, Nirolhumagu",12.0,73.54224251340898,4.208280056293033
Express Inn,"Hulhumale', 10787",15.0,73.54378808134744,4.21182030465435
Marine Holiday,"Hulhumale' Lot No. 10800, Unigas Magu",12.0,73.54347683688594,4.210894942425812
Rij Hulhumale,Hulhumale' Lot No. 10056 no:06  Nirolhu Magu,10.0,73.5456254205143,4.218940277663421
The G Ten Holiday Inn,"Villa Rose, Hulhumale' Lot No: 10164, Halaveli Magu",8.0,73.54502022882585,4.216339164592289
Turquoise Residence,Hulhumale' Lot No. 11054 Nirolhu Magu,18.0,73.54284127510181,4.208558240159274
Sunny Canopy,"Hulhumale' Phase 2 ,Lot 20056, Nirolhu Magu",8.0,73.54740782321413,4.225381303878682
