Atoll,category,latitude,ORIG_FID,longitude,OBJECTID,capital,IslandName,categ2,islandCode,fname,v07,v03,FCODE,v02,v04,v01,longitude,latitude
AA,Inhabited,4.051099737658506,0,72.72557954115837,1,N,Feridhoo,Inhabited,2807,AA.Feridhoo,52,297,LD0287,247,492,544,72.72557954115837,4.051099737658506
AA,Inhabited,3.920784607574687,1,72.7440546710242,2,N,Himandhoo,Inhabited,2809,AA.Himandhoo,131,501,LD0874,384,754,885,72.7440546710242,3.920784607574687
AA,Inhabited,3.986344387702437,2,72.71943164415813,3,N,Maalhos,Inhabited,2808,AA.Maalhos,87,273,LD0004,243,429,516,72.71943164415813,3.986344387702437
AA,Inhabited,4.191914825446774,3,72.7462727830192,4,N,Mathiveri,Inhabited,2805,AA.Mathiveri,90,466,LD0132,412,788,878,72.7462727830192,4.191914825446774
AA,Inhabited,4.263116473108203,4,72.99186119190061,5,Y,Rasdhoo,Inhabited,2802,AA.Rasdhoo,204,755,LD0257,527,1078,1282,72.99186119190061,4.263116473108203
AA,Inhabited,4.437252754477485,5,72.95967114101018,6,N,Thoddoo,Inhabited,2801,AA.Thoddoo,395,1133,LD0501,791,1529,1924,72.95967114101018,4.437252754477485
AA,Inhabited,4.215162986636356,6,72.86425112395914,7,N,Ukulhas,Inhabited,2804,AA.Ukulhas,231,740,LD0916,544,1053,1284,72.86425112395914,4.215162986636356
ADh,Inhabited,3.607711647361769,7,72.95585504380085,8,N,Dhagethi,Inhabited,2906,ADh.Dhagethi,218,575,LD0273,361,718,936,72.95585504380085,3.607711647361769
ADh,Inhabited,3.484180377815163,8,72.87777932346371,9,N,Dhidhdhoo,Inhabited,2909,ADh.Dhidhdhoo,31,75,LD0459,66,110,141,72.87777932346371,3.484180377815163
ADh,Inhabited,3.532392582935455,9,72.92718650330289,10,N,Dhigurah,Inhabited,2907,ADh.Dhigurah,223,495,LD1047,266,538,761,72.92718650330289,3.532392582935455
ADh,Inhabited,3.489330485550703,10,72.78437901943542,11,N,Fenfushi,Inhabited,2908,ADh.Fenfushi,189,584,LD0513,416,811,1000,72.78437901943542,3.489330485550703
ADh,Inhabited,3.849258162365954,11,72.95522380229832,12,N,Hangnaameedhoo,Inhabited,2901,ADh.Hangnaameedhoo,71,269,"LD1023
",215,413,484,72.95522380229832,3.849258162365954
ADh,Inhabited,3.775673601043159,12,72.92577440259406,13,N,Kunburudhoo,Inhabited,2903,ADh.Kunburudhoo,28,259,LD0771,250,481,509,72.92577440259406,3.775673601043159
ADh,Inhabited,3.473904234364218,13,72.83461601679227,14,N,Maamigili,Inhabited,2910,ADh.Maamigili,495,1636,LD0158,1162,2303,2798,72.83461601679227,3.473904234364218
ADh,Inhabited,3.757232077328605,14,72.96905087788593,15,Y,Mahibadhoo,Inhabited,2904,ADh.Mahibadhoo,558,1458,LD0545,1122,2022,2580,72.96905087788593,3.757232077328605
ADh,Inhabited,3.697998536156772,15,72.70927481493531,16,N,Mandhoo,Inhabited,2905,ADh.Mandhoo,132,264,LD0168,154,286,418,72.70927481493531,3.697998536156772
ADh,Inhabited,3.791608264720191,16,72.96251140896784,17,N,Omadhoo,Inhabited,2902,ADh.Omadhoo,55,427,LD0009,486,858,913,72.96251140896784,3.791608264720191
B,Inhabited,5.1573485492041,17,73.13102319310734,18,N,Dharavandhoo,Inhabited,2508,B.Dharavandhoo,175,559,LD0844,438,822,997,73.13102319310734,5.1573485492041
B,Inhabited,5.187792470217106,18,73.1228919688512,19,N,Dhonfanu,Inhabited,2507,B.Dhonfanu,34,187,LD0348,211,364,398,73.1228919688512,5.187792470217106
B,Inhabited,5.102591801712933,19,73.0706639845349,20,Y,Eydhafushi,Inhabited,2510,B.Eydhafushi,264,1294,LD0204,1287,2317,2581,73.0706639845349,5.102591801712933
B,Inhabited,4.880740344834666,20,72.97307204574739,21,N,Fehendhoo,Inhabited,2515,B.Fehendhoo,26,115,LD0520,83,172,198,72.97307204574739,4.880740344834666
B,Inhabited,4.88497763941638,21,72.93394134504825,22,N,Fulhadhoo,Inhabited,2514,B.Fulhadhoo,101,213,LD0044,128,240,341,72.93394134504825,4.88497763941638
B,Inhabited,4.872868482798415,22,72.99887261592136,23,N,Goidhoo,Inhabited,2516,B.Goidhoo,75,300,LD0931,283,508,583,72.99887261592136,4.872868482798415
B,Inhabited,5.007269999533703,23,72.922965972345,24,N,Hithaadhoo,Inhabited,2513,B.Hithaadhoo,70,380,LD1000,364,674,744,72.922965972345,5.007269999533703
B,Inhabited,5.28203616013146,24,73.13691508025681,25,N,Kamadhoo,Inhabited,2502,B.Kamadhoo,209,338,LD0518,214,343,552,73.13691508025681,5.28203616013146
